ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1220,0.049,0.000,0.051,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/functional.py:2233(_verify_batch_size)
2000,0.118,0.000,1.512,0.001,/opt/conda/lib/python3.8/site-packages/torch/nn/functional.py:2250(batch_norm)
100,0.005,0.000,0.017,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/functional.py:2761(cross_entropy)
100,0.005,0.000,0.706,0.007,/opt/conda/lib/python3.8/site-packages/torch/_jit_internal.py:395(fn)
7700/200,0.473,0.000,16.166,0.081,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1045(_call_impl)
21920,0.864,0.000,0.864,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1117(__getattr__)
1356,0.111,0.000,0.120,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1133(__setattr__)
136,0.007,0.000,0.009,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1202(_save_to_state_dict)
100,0.004,0.000,0.021,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/linear.py:95(forward)
136/2,0.010,0.000,0.018,0.009,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1236(state_dict)
68,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1312(<dictcomp>)
68,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1314(<dictcomp>)
68,0.127,0.002,0.172,0.003,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1276(_load_from_state_dict)
68/1,0.005,0.000,0.179,0.179,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1384(load)
1,0.000,0.000,0.179,0.179,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1354(load_state_dict)
270,0.005,0.000,0.011,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1521(children)
270,0.006,0.000,0.006,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1530(named_children)
136/2,0.008,0.000,0.028,0.014,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1622(train)
1,0.000,0.000,0.014,0.014,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1644(eval)
244,0.005,0.000,0.029,0.000,/opt/conda/lib/python3.8/site-packages/torch/cuda/__init__.py:218(__init__)
244,0.004,0.000,0.004,0.000,/opt/conda/lib/python3.8/site-packages/torch/cuda/__init__.py:222(__enter__)
244,0.004,0.000,0.004,0.000,/opt/conda/lib/python3.8/site-packages/torch/cuda/__init__.py:231(__exit__)
244,0.010,0.000,0.024,0.000,/opt/conda/lib/python3.8/site-packages/torch/cuda/_utils.py:7(_get_device_index)
244,0.003,0.000,0.003,0.000,/opt/conda/lib/python3.8/site-packages/torch/storage.py:13(__init__)
244,0.009,0.000,0.142,0.001,/opt/conda/lib/python3.8/site-packages/torch/storage.py:44(__deepcopy__)
244,0.016,0.000,0.134,0.001,/opt/conda/lib/python3.8/site-packages/torch/storage.py:60(clone)
244,0.032,0.000,0.216,0.001,/opt/conda/lib/python3.8/site-packages/torch/_tensor.py:51(__deepcopy__)
61,0.003,0.000,31.321,0.513,/opt/conda/lib/python3.8/site-packages/torch/_tensor.py:205(backward)
3,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/_tensor.py:556(__format__)
7626,0.127,0.000,0.139,0.000,/opt/conda/lib/python3.8/site-packages/torch/_tensor.py:615(__hash__)
32422,0.765,0.000,0.819,0.000,/opt/conda/lib/python3.8/site-packages/torch/_tensor.py:967(grad)
200,0.005,0.000,0.005,0.000,{built-in method tensor}
2000,1.307,0.001,1.307,0.001,{built-in method batch_norm}
62,0.004,0.000,0.004,0.000,{built-in method clone}
2000,11.299,0.006,11.299,0.006,{built-in method conv2d}
4,0.000,0.000,0.000,0.000,{built-in method empty}
100,0.002,0.000,0.002,0.000,{built-in method flatten}
100,0.005,0.000,0.005,0.000,{built-in method max}
100,0.692,0.007,0.696,0.007,{built-in method max_pool2d}
61,0.001,0.000,0.001,0.000,{built-in method ones_like}
2,0.000,0.000,0.000,0.000,{built-in method randperm}
1700,0.130,0.000,0.130,0.000,{built-in method relu_}
100,0.003,0.000,0.003,0.000,{built-in method sum}
263,0.011,0.000,0.011,0.000,{built-in method zeros}
100,0.008,0.000,0.008,0.000,{built-in method torch._C._nn.adaptive_avg_pool2d}
100,0.009,0.000,0.009,0.000,{built-in method torch._C._nn.cross_entropy_loss}
100,0.008,0.000,0.008,0.000,{built-in method torch._C._nn.linear}
2,0.000,0.000,0.000,0.000,{method 'manual_seed' of 'torch._C.Generator' objects}
61,31.300,0.513,31.300,0.513,{method 'run_backward' of 'torch._C._EngineBase' objects}
200,0.007,0.000,0.014,0.000,/opt/conda/lib/python3.8/site-packages/torch/_utils.py:130(_rebuild_tensor)
244,0.009,0.000,0.010,0.000,/opt/conda/lib/python3.8/site-packages/torch/_utils.py:467(_get_device_index)
800,0.014,0.000,0.034,0.000,/opt/conda/lib/python3.8/hmac.py:56(<lambda>)
400,0.051,0.000,0.095,0.000,/opt/conda/lib/python3.8/hmac.py:33(__init__)
400,0.006,0.000,0.006,0.000,/opt/conda/lib/python3.8/hmac.py:94(update)
400,0.009,0.000,0.011,0.000,/opt/conda/lib/python3.8/hmac.py:111(_current)
400,0.009,0.000,0.021,0.000,/opt/conda/lib/python3.8/hmac.py:120(digest)
400,0.009,0.000,0.104,0.000,/opt/conda/lib/python3.8/hmac.py:136(new)
224,0.001,0.000,0.001,0.000,{method 'acquire' of '_multiprocessing.SemLock' objects}
210,0.000,0.000,0.000,0.000,{method 'release' of '_multiprocessing.SemLock' objects}
10,0.000,0.000,0.000,0.000,{method '__enter__' of '_multiprocessing.SemLock' objects}
10,0.000,0.000,0.000,0.000,{method '__exit__' of '_multiprocessing.SemLock' objects}
2,0.000,0.000,0.000,0.000,{method '_is_mine' of '_multiprocessing.SemLock' objects}
1600,0.002,0.000,0.002,0.000,{method 'update' of '_hashlib.HASH' objects}
800,0.001,0.000,0.001,0.000,{method 'digest' of '_hashlib.HASH' objects}
400,0.001,0.000,0.001,0.000,{method 'copy' of '_hashlib.HASH' objects}
800,0.003,0.000,0.003,0.000,{built-in method _hashlib.new}
800,0.017,0.000,0.020,0.000,/opt/conda/lib/python3.8/hashlib.py:146(__hash_new)
40,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/tempfile.py:133(rng)
40,0.004,0.000,0.025,0.001,/opt/conda/lib/python3.8/tempfile.py:147(<listcomp>)
40,0.002,0.000,0.029,0.001,/opt/conda/lib/python3.8/tempfile.py:144(__next__)
528,0.000,0.000,0.000,0.000,{method 'getrandbits' of '_random.Random' objects}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
320,0.011,0.000,0.012,0.000,/opt/conda/lib/python3.8/random.py:250(_randbelow_with_getrandbits)
320,0.009,0.000,0.021,0.000,/opt/conda/lib/python3.8/random.py:285(choice)
200,0.000,0.000,0.000,0.000,{method 'frombytes' of 'array.array' objects}
200,0.001,0.000,0.001,0.000,{method 'dump' of '_pickle.Pickler' objects}
100,0.011,0.000,0.834,0.008,{built-in method _pickle.loads}
1040/2,0.075,0.000,0.329,0.164,/opt/conda/lib/python3.8/copy.py:128(deepcopy)
654,0.007,0.000,0.007,0.000,/opt/conda/lib/python3.8/copy.py:182(_deepcopy_atomic)
138/2,0.006,0.000,0.056,0.028,/opt/conda/lib/python3.8/copy.py:226(_deepcopy_dict)
386,0.007,0.000,0.007,0.000,/opt/conda/lib/python3.8/copy.py:242(_keep_alive)
4/2,0.013,0.003,0.328,0.164,/opt/conda/lib/python3.8/copy.py:258(_reconstruct)
22,0.001,0.000,0.032,0.001,/opt/conda/lib/python3.8/multiprocessing/context.py:65(Lock)
2,0.000,0.000,0.007,0.004,/opt/conda/lib/python3.8/multiprocessing/context.py:75(Condition)
8,0.000,0.000,0.009,0.001,/opt/conda/lib/python3.8/multiprocessing/context.py:80(Semaphore)
10,0.001,0.000,0.012,0.001,/opt/conda/lib/python3.8/multiprocessing/context.py:85(BoundedSemaphore)
2,0.000,0.000,0.012,0.006,/opt/conda/lib/python3.8/multiprocessing/context.py:90(Event)
10,0.002,0.000,0.054,0.005,/opt/conda/lib/python3.8/multiprocessing/context.py:100(Queue)
42,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/context.py:187(get_context)
40,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/context.py:197(get_start_method)
8,0.001,0.000,1.018,0.127,/opt/conda/lib/python3.8/multiprocessing/context.py:222(_Popen)
20,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/context.py:233(get_context)
8,0.001,0.000,1.018,0.127,/opt/conda/lib/python3.8/multiprocessing/context.py:274(_Popen)
240,0.003,0.000,0.003,0.000,/opt/conda/lib/python3.8/multiprocessing/process.py:37(current_process)
8,0.000,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/process.py:61(_cleanup)
16,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/process.py:94(<genexpr>)
8,0.001,0.000,0.002,0.000,/opt/conda/lib/python3.8/multiprocessing/process.py:80(__init__)
32,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/process.py:99(_check_closed)
8,0.002,0.000,1.022,0.128,/opt/conda/lib/python3.8/multiprocessing/process.py:110(start)
8,0.000,0.000,0.127,0.016,/opt/conda/lib/python3.8/multiprocessing/process.py:142(join)
8,0.000,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/process.py:153(is_alive)
8,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/process.py:189(name)
8,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/process.py:205(daemon)
200,0.003,0.000,0.003,0.000,/opt/conda/lib/python3.8/multiprocessing/process.py:213(authkey)
8,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/process.py:234(ident)
200,0.007,0.000,0.018,0.000,/opt/conda/lib/python3.8/multiprocessing/reduction.py:48(dumps)
200,0.007,0.000,0.009,0.000,/opt/conda/lib/python3.8/multiprocessing/reduction.py:38(__init__)
200,0.020,0.000,0.025,0.000,/opt/conda/lib/python3.8/multiprocessing/reduction.py:153(recvfds)
200,0.010,0.000,0.067,0.000,/opt/conda/lib/python3.8/multiprocessing/reduction.py:186(recv_handle)
1,0.208,0.208,53.576,53.576,main.py:41(train_model)
800,0.001,0.000,0.001,0.000,{built-in method _struct.pack}
700,0.001,0.000,0.001,0.000,{built-in method _struct.unpack}
108,0.000,0.000,0.000,0.000,{built-in method math.ceil}
108,0.004,0.000,0.008,0.000,/opt/conda/lib/python3.8/selectors.py:21(_fileobj_to_fd)
108,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/selectors.py:63(__init__)
108,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/selectors.py:199(__enter__)
108,0.002,0.000,0.004,0.000,/opt/conda/lib/python3.8/selectors.py:202(__exit__)
108,0.003,0.000,0.004,0.000,/opt/conda/lib/python3.8/selectors.py:209(__init__)
108,0.003,0.000,0.011,0.000,/opt/conda/lib/python3.8/selectors.py:215(_fileobj_lookup)
108,0.006,0.000,0.018,0.000,/opt/conda/lib/python3.8/selectors.py:234(register)
108,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/selectors.py:268(close)
108,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/selectors.py:275(_key_from_fd)
108,0.003,0.000,0.008,0.000,/opt/conda/lib/python3.8/selectors.py:347(__init__)
108,0.006,0.000,0.025,0.000,/opt/conda/lib/python3.8/selectors.py:351(register)
108,0.011,0.000,0.432,0.004,/opt/conda/lib/python3.8/selectors.py:402(select)
18,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/threading.py:222(__init__)
124,0.002,0.000,0.003,0.000,/opt/conda/lib/python3.8/threading.py:246(__enter__)
124,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/threading.py:249(__exit__)
8,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/threading.py:255(_release_save)
8,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/threading.py:258(_acquire_restore)
124,0.002,0.000,0.003,0.000,/opt/conda/lib/python3.8/threading.py:261(_is_owned)
8,0.001,0.000,0.004,0.001,/opt/conda/lib/python3.8/threading.py:270(wait)
116,0.008,0.000,0.011,0.000,/opt/conda/lib/python3.8/threading.py:341(notify)
8,0.000,0.000,0.001,0.000,/opt/conda/lib/python3.8/threading.py:505(__init__)
16,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/threading.py:513(is_set)
8,0.001,0.000,0.005,0.001,/opt/conda/lib/python3.8/threading.py:540(wait)
8,0.002,0.000,0.004,0.000,/opt/conda/lib/python3.8/threading.py:761(__init__)
8,0.001,0.000,0.007,0.001,/opt/conda/lib/python3.8/threading.py:834(start)
8,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/threading.py:1095(daemon)
8,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/threading.py:1110(daemon)
8,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/threading.py:1177(_make_invoke_excepthook)
10,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/threading.py:1306(current_thread)
200,0.003,0.000,0.003,0.000,/opt/conda/lib/python3.8/socket.py:492(_real_close)
200,0.005,0.000,0.008,0.000,/opt/conda/lib/python3.8/socket.py:496(close)
200,0.004,0.000,0.004,0.000,/opt/conda/lib/python3.8/socket.py:502(detach)
200,0.005,0.000,0.011,0.000,/opt/conda/lib/python3.8/socket.py:537(fromfd)
1,0.000,0.000,0.004,0.004,/opt/conda/lib/python3.8/linecache.py:15(getline)
1,0.000,0.000,0.004,0.004,/opt/conda/lib/python3.8/linecache.py:37(getlines)
1,0.000,0.000,0.004,0.004,/opt/conda/lib/python3.8/linecache.py:82(updatecache)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/tokenize.py:319(read_or_stop)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/tokenize.py:325(find_cookie)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/tokenize.py:295(detect_encoding)
1,0.000,0.000,0.001,0.001,/opt/conda/lib/python3.8/tokenize.py:388(open)
400,0.019,0.000,0.019,0.000,/opt/conda/lib/python3.8/socket.py:219(__init__)
400,0.004,0.000,0.004,0.000,/opt/conda/lib/python3.8/socket.py:235(__enter__)
400,0.007,0.000,0.015,0.000,/opt/conda/lib/python3.8/socket.py:238(__exit__)
8,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/logging/__init__.py:214(_acquireLock)
8,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/logging/__init__.py:223(_releaseLock)
40,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/weakref.py:103(remove)
50,0.002,0.000,0.004,0.000,/opt/conda/lib/python3.8/weakref.py:159(__setitem__)
50,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/weakref.py:323(__new__)
50,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/weakref.py:328(__init__)
11,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/_weakrefset.py:38(_remove)
16,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/_weakrefset.py:81(add)
1,0.000,0.000,0.004,0.004,/opt/conda/lib/python3.8/warnings.py:117(_formatwarnmsg)
1,0.000,0.000,0.004,0.004,/opt/conda/lib/python3.8/warnings.py:96(_showwarnmsg)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/warnings.py:403(__init__)
1,0.000,0.000,0.004,0.004,/opt/conda/lib/python3.8/warnings.py:35(_formatwarnmsg_impl)
1,0.000,0.000,0.004,0.004,/opt/conda/lib/python3.8/warnings.py:20(_showwarnmsg_impl)
108,0.000,0.000,0.000,0.000,{method 'register' of 'select.poll' objects}
108,0.418,0.004,0.418,0.004,{method 'poll' of 'select.poll' objects}
108,0.000,0.000,0.000,0.000,{built-in method select.poll}
200,0.000,0.000,0.000,0.000,{function socket.close at 0x7f357cf860d0}
200,0.007,0.000,0.007,0.000,{method 'connect' of '_socket.socket' objects}
200,0.000,0.000,0.000,0.000,{function socket.detach at 0x7f357cf86160}
200,0.001,0.000,0.001,0.000,{method 'setblocking' of '_socket.socket' objects}
200,0.004,0.000,0.004,0.000,{method 'recvmsg' of '_socket.socket' objects}
200,0.001,0.000,0.001,0.000,{built-in method _socket.dup}
200,0.000,0.000,0.000,0.000,{built-in method _socket.CMSG_SPACE}
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/codecs.py:309(__init__)
27,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/codecs.py:319(decode)
272,0.006,0.000,0.006,0.000,<frozen importlib._bootstrap>:389(parent)


